area,iptu,taxa_condominial,num_quartos,num_banheiros,num_suites,num_vagas_garagem,num_andares,tipo_imovel,estado_construcao,fonte,imovel_lancamento,bl_temporada,vista_mar_bin,mobiliado_bin,preco_m2
91.0,,,3,1,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,12751.21978021978
46.0,600.0,700.0,1,2,1,2,7,Apartamento,desconhecido,Viva Real,0,0,0,0,10000.0
75.0,0.0,600.0,3,2,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,4133.333333333333
80.0,1600.0,850.0,3,2,0,1,0,Apartamento,desconhecido,Viva Real,0,0,1,1,8600.0
77.0,1300.0,999.0,3,2,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,13896.103896103896
93.0,2088.0,800.0,2,1,1,1,12,Apartamento,desconhecido,Viva Real,0,0,0,1,11827.956989247312
197.0,3010.0,1331.0,3,3,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5583.756345177665
124.0,137.0,1200.0,3,3,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6854.8387096774195
31.0,850.0,350.0,1,1,0,0,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7096.774193548387
504.0,18486.0,3217.0,4,6,2,4,0,Cobertura,desconhecido,Viva Real,0,0,0,0,5158.730158730159
135.0,0.0,0.0,3,3,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6777.777777777777
96.0,0.0,1190.0,3,1,1,1,0,Apartamento,desconhecido,Viva Real,0,0,1,0,13020.833333333334
60.0,,576.0,2,1,0,0,0,Apartamento,desconhecido,Viva Real,0,0,0,1,7998.333333333333
77.0,1300.0,999.0,3,2,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,13896.103896103896
31.0,850.0,350.0,1,1,0,0,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7096.774193548387
135.0,0.0,0.0,3,3,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6777.777777777777
140.0,5100.0,815.0,3,2,1,3,13,Apartamento,desconhecido,Viva Real,0,0,0,1,18928.571428571428
124.0,137.0,1200.0,3,3,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6854.8387096774195
161.0,3740.0,994.0,2,3,2,2,0,Cobertura,desconhecido,Viva Real,0,0,0,1,7763.975155279503
60.0,,576.0,2,1,0,0,0,Apartamento,desconhecido,Viva Real,0,0,0,1,7998.333333333333
177.0,0.0,0.0,4,4,2,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,15819.209039548023
135.0,3000.0,731.0,3,4,3,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,11925.925925925925
140.0,5100.0,815.0,3,2,1,3,13,Apartamento,desconhecido,Viva Real,0,0,0,1,18928.571428571428
305.0,6000.0,1789.0,4,5,2,4,12,Cobertura,desconhecido,Viva Real,0,0,0,1,8819.672131147541
101.0,2800.0,990.0,3,3,1,1,12,Apartamento,desconhecido,Viva Real,0,0,0,1,6881.188118811881
161.0,3740.0,994.0,2,3,2,2,0,Cobertura,desconhecido,Viva Real,0,0,0,1,7763.975155279503
96.0,1856.0,1195.0,3,3,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7500.0
70.0,1200.0,900.0,2,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7571.428571428572
135.0,3000.0,731.0,3,4,3,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,11925.925925925925
177.0,0.0,0.0,4,4,2,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,15819.209039548023
116.0,3200.0,1200.0,3,4,3,3,0,Apartamento,desconhecido,Viva Real,0,0,0,0,14637.931034482759
189.0,390.0,1100.0,3,3,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,14645.502645502645
88.0,1640.0,714.0,3,2,1,2,12,Apartamento,desconhecido,Viva Real,0,0,0,1,16477.272727272728
170.0,3500.0,1200.0,3,3,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,9941.176470588236
85.0,2540.0,1130.0,2,2,2,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,15294.117647058823
118.0,3200.0,1200.0,3,3,3,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,17627.118644067796
